name,sex
Ağbegim,F
Ağbegüm,F
Ağbet,F
Ağbilek,F
Ağca,U
Ağcabey,M
Ağer,M
Ağgül,F
Ağkız,F
Ağnak,M
Ağyar,M
Ağça,F
Ağçelik,M
Ağın,M
Ağırtaş,M
Ağış,U
Aşa,F
Aşan,M
Aşcır,M
Aşina,F
Aşir,M
Aşkan,M
Aşkım,F
Aşkın,U
Aşkınay,M
Aşkıner,M
Aşır,M
Babacan,M
Babayiğit,M
Babaç,M
Babür,M
Babürşah,M
Bacı,F
Bade,F
Badegül,F
Badiye,F
Baha,M
Bahadır,M
Bahadırhan,M
Bahai,M
Bahar,F
Bahattin,M
Bahir,M
Bahise,F
Bahri,M
Bahriye,F
Bahti,M
Bahtiyar,U
Bahtınur,F
Bahtıser,F
Bahtışen,F
Bahşı,M
Bakanay,U
Baki,M
Bakinaz,F
Bakiye,F
Baksı,M
Bakır,M
Bakırhan,M
Bala,M
Balaban,M
Balaman,M
Balamir,M
Balatekin,M
Balatürk,M
Balaz,M
Balbal,M
Balbay,M
Balbey,M
Balca,F
Balcan,M
Baldan,F
Baldemir,M
Baler,M
Balhan,M
Balibey,M
Balk,M
Balkan,M
Balkoç,M
Balkı,U
Balkın,F
Balkır,U
Balkız,F
Balkış,M
Ballı,F
Balsan,M
Balsarı,F
Baltaş,M
Balâ,M
Balâbey,M
Balı,M
Balıbaş,M
Balıbey,M
Balım,U
Balın,F
Balşeker,F
Bandak,M
Bangu,M
Banu,F
Banuhan,F
Barak,M
Baran,M
Baranalp,M
Baranbilge,M
Baransel,M
Baray,M
Barbaros,M
Baria,F
Barik,M
Barika,F
Bariz,M
Barkan,M
Barkın,U
Barlas,M
Barlık,M
Bars,M
Barsbay,M
Barsbey,M
Bartu,M
Barça,M
Barçak,M
Barçın,U
Barım,M
Barın,M
Barış,U
Barışcan,M
Basa,M
Basak,M
Basir,M
Basiret,F
Baskak,M
Baskan,M
Baskın,M
Basri,M
Basriye,F
Basut,M
Basım,M
Basıra,F
Battal,M
Batu,M
Batucem,M
Batuhan,M
Batur,M
Baturalp,M
Baturay,M
Baturhan,M
Batı,U
Batıbay,M
Batıbey,M
Batıcan,M
Batıhan,M
Batır,M
Batıray,M
Batırhan,M
Bayar,M
Baybars,M
Baybaş,M
Baybek,M
Baybora,M
Baybörü,M
Baycan,M
Baydoğan,M
Baydu,M
Baydur,M
Bayduralp,M
Bayer,M
Bayezit,M
Baygüç,M
Bayhan,M
Bayhun,M
Baykal,M
Baykam,M
Baykan,M
Baykara,M
Baykoca,M
Baykor,M
Baykul,M
Baykurt,M
Baykut,M
Baykutay,M
Baykır,M
Baylan,U
Bayman,M
Bayol,M
Bayrak,M
Bayraktar,M
Bayram,M
Bayru,M
Bayrualp,M
Bayrubay,M
Bayruhan,M
Bayruk,M
Bayrı,M
Baysal,U
Baysan,M
Baysoy,M
Baysu,M
Baysungur,M
Baytal,M
Baytaş,M
Baytekin,M
Baytimur,M
Baytok,M
Baytugay,M
Baytüze,M
Baytüzün,M
Bayuk,M
Bayyiğit,M
Bayça,M
Bayülken,M
Bayık,M
Bayın,M
Bayındır,M
Bayır,M
Bayırhan,M
Bağatur,M
Bağdagül,F
Bağdaç,M
Bağdaş,M
Bağlan,F
Bağır,M
Bağış,M
Bağışhan,M
Başak,F
Başal,M
Başar,U
Başargan,M
Başarman,M
Başat,M
Başay,U
Başaydın,M
Başağa,M
Başbay,M
Başbuğ,M
Başdemir,M
Başdoğan,M
Başel,M
Başer,M
Başeğmez,M
Başhan,M
Başkal,M
Başkan,M
Başkara,M
Başkaya,M
Başkaynak,M
Başkur,M
Başkurt,M
Başkut,M
Başman,M
Başok,M
Başol,M
Başsoy,M
Baştaş,M
Baştemir,M
Baştugay,M
Baştuğ,M
Baştürk,M
Başçık,F
Başöz,M
Bedel,M
Beder,F
Bedi,M
Bedia,F
Bedih,M
Bedihe,F
Bedir,M
Bedirhan,M
Bedirnisa,F
Bedis,F
Bediz,U
Bedreka,F
Bedrettin,M
Bedri,M
Bedriye,F
Bedük,M
Begim,F
Begüm,F
Behice,F
Behin,F
Behire,F
Behiye,F
Behiç,M
Behlül,M
Behmen,M
Behnan,M
Behnane,F
Behram,M
Behzat,M
Behçet,M
Bek,M
Bekata,M
Bekbars,M
Bekbay,M
Bekdemir,M
Bekdil,M
Bekem,M
Beken,F
Beker,M
Bekir,M
Beksan,M
Bektaş,M
Bektöre,M
Bektürk,M
Bekâm,M
Beleda,M
Belek,M
Belen,M
Belge,M
Belgi,F
Belgin,F
Belik,F
Belin,F
Beliz,F
Beliğ,M
Belkıs,F
Bellek,M
Bellisan,M
Belma,F
Belmen,F
Benal,M
Benam,M
Benan,U
Benay,F
Benazir,M
Bender,M
Bendeş,M
Benek,F
Bener,M
Benevşe,F
Bengi,U
Bengialp,M
Bengibay,M
Bengigül,F
Bengisan,U
Bengisoy,M
Bengisu,U
Bengitaş,M
Bengü,U
Bengühan,F
Bengül,F
Benian,F
Benice,F
Benli,F
Benligül,F
Bennur,F
Benol,M
Bensu,F
Bent,M
Bentürk,M
Benzer,M
Benşen,U
Berat,U
Berceste,F
Bercis,F
Bereket,U
Beren,U
Berfin,U
Berfu,F
Berge,M
Bergin,M
Bergüzar,F
Beri,M
Beria,F
Berin,U
Beriye,F
Berk,M
Berkal,M
Berkan,M
Berkant,M
Berkay,M
Berke,U
Berkel,M
Berker,M
Berki,M
Berkin,M
Berkiye,F
Berkkan,M
Berkman,M
Berkmen,M
Berkok,M
Berkol,M
Berksal,M
Berksan,M
Berksay,M
Berksoy,M
Berksu,M
Berksun,M
Berktan,M
Berktin,M
Berköz,M
Berkün,M
Bermude,F
Berna,U
Berrak,F
Berran,U
Berrin,F
Bertan,M
Berter,M
Berşe,F
Besalet,U
Besamet,F
Besat,M
Besen,U
Besim,M
Besime,F
Beste,F
Bestegül,F
Betigül,F
Betik,U
Betil,F
Betim,M
Betül,F
Betülay,F
Beyaz,F
Beyazıt,M
Beybars,M
Beybolat,M
Beycan,M
Beyda,M
Beydağ,M
Beydaş,M
Beygu,M
Beyhan,U
Beyhatun,F
Beykal,M
Beykan,M
Beykara,M
Beylan,F
Beylem,F
Beyrek,M
Beysan,M
Beysun,F
Beytekin,M
Beytemir,M
Beytullah,M
Beytöre,M
Beyza,F
Beyzade,M
Beyzat,M
Bezek,F
Bezen,F
Bezmiâlem,F
Beğenç,M
Beşaret,U
Beşarettin,M
Beşer,M
Beşgül,F
Beşir,M
Beşire,F
Bican,M
Bidar,F
Bidayet,F
Bige,F
Bigüm,F
Bihan,F
Bihin,F
Bihine,F
Bihter,F
Bihterin,F
Bike,F
Bilan,M
Bilay,U
Bilbay,M
Bilbaşar,M
Bileda,M
Bilek,M
Bilen,U
Bilender,M
Bilge,U
Bilgealp,M
Bilgebay,M
Bilgecan,F
Bilgeer,M
Bilgehan,U
Bilgekan,M
Bilgekağan,M
Bilgekurt,M
Bilgekut,M
Bilgen,U
Bilgenur,F
Bilger,M
Bilgetay,M
Bilgetürk,M
Bilgi,U
Bilgihan,M
Bilgin,M
Bilginer,M
Bilginur,F
Bilgiser,F
Bilgivar,F
Bilgiç,M
Bilgü,M
Bilgün,F
Bilgütay,M
Bilhan,U
Bilik,M
Bilir,U
Biliş,F
Bilkan,M
Billûr,F
Bilmen,M
Bilnur,M
Bilsay,M
Bilsen,U
Bilsev,F
Bilsin,F
Biltay,M
Biltaş,M
Bilyap,M
Bilâl,M
Binal,M
Binali,M
Binalp,M
Binan,M
Binat,M
Binay,U
Binbay,M
Binbaşar,M
Bindal,M
Biner,M
Bingöl,M
Bingül,F
Bingün,F
Binhan,F
Biniz,F
Binkan,M
Binnaz,F
Binnur,U
Bintuğ,M
Binyaşar,M
Binzet,F
Binışık,M
Biran,M
Birant,M
Biray,U
Birben,F
Birbenek,F
Bircan,U
Birce,U
Birdal,U
Birge,U
Birgen,F
Birgi,M
Birgit,M
Birgül,F
Birgün,F
Birhan,U
Biricik,F
Birim,F
Biriz,U
Birkan,M
Birke,F
Birkök,M
Birmen,M
Birnaz,F
Birnur,F
Birol,M
Birsan,U
Birsel,U
Birsen,U
Birsin,M
Birsoy,M
Birtan,M
Birtane,F
Birtek,F
Birten,M
Birçek,F
Birşen,M
Bitek,M
Bitengül,F
Bitim,M
Bolat,M
Bolcan,M
Bolgan,M
Bolhan,M
Bolkan,M
Boncuk,F
Bor,M
Bora,M
Borahan,M
Borak,M
Borakan,M
Borakhan,M
Boran,M
Boranalp,M
Boranbay,M
Boransü,M
Boratav,M
Boratay,M
Borataş,M
Boray,M
Borkan,M
Boy,M
Boyar,M
Boydak,M
Boydaş,M
Boyer,M
Boylan,M
Boylu,M
Boynak,M
Boyraz,M
Boysal,M
Boysan,M
Boz,M
Bozan,M
Bozat,M
Bozay,M
Bozbala,M
Bozbay,M
Bozbağ,M
Bozbaş,M
Bozbey,M
Bozbora,M
Bozca,M
Bozdağ,M
Bozdemir,M
Bozdeniz,M
Bozdoğan,M
Bozer,M
Bozerk,M
Bozhan,M
Bozkan,M
Bozkara,M
Bozkaya,M
Bozkurt,M
Bozkır,M
Bozlak,M
Bozok,M
Bozokay,M
Boztaş,M
Boztepe,M
Boztimur,M
Bozyel,M
Bozyiğit,M
Bozçin,F
Boğa,M
Boğahan,M
Boğatay,M
Boğataş,M
Boğatekin,M
Boğatimur,M
Boğatır,M
Boğaç,M
Boğaçhan,M
Bucak,M
Budak,M
Budun,M
Budunal,M
Budunalp,M
Bugül,F
Bukay,M
Buket,F
Bulak,M
Bulgan,M
Bulgu,M
Bulgubay,M
Bulgucan,M
Bulgunoyan,M
Bulunç,M
Bulut,M
Bulutay,M
Buluttekin,M
Buluç,M
Buluş,U
Bumin,M
Buminhan,M
Burak,M
Burcu,F
Burhan,M
Burhanettin,M
Burkay,M
Buruk,M
Burukbay,M
Buruktekin,M
Burç,M
Burçak,U
Burçhan,M
Burçin,U
Buse,F
Buyan,M
